month,Incomplete RTT pathways_Median wait (weeks),Incomplete RTT pathways_92nd percentile (weeks),Incomplete RTT pathways_No. within 18 weeks,Incomplete RTT pathways_% within 18 weeks,Incomplete RTT pathways_No. > 18 weeks,Incomplete RTT pathways_No. > 52 weeks,Incomplete RTT pathways_% > 52 weeks,Incomplete RTT pathways_No. > 78 weeks,Incomplete RTT pathways_No. > 104 weeks,Incomplete RTT pathways_Total waiting (mil),Admitted (unadjusted) RTT pathways_Median wait (weeks),Admitted (unadjusted) RTT pathways_95th percentile (weeks),Admitted (unadjusted) RTT pathways_No. within 18 weeks,Admitted (unadjusted) RTT pathways_No. > 52 weeks,Admitted (unadjusted) RTT pathways_No. of pathways (all),NonAdmitted RTT pathways_Median wait (weeks),NonAdmitted RTT pathways_95th percentile (weeks),NonAdmitted RTT pathways_No. within 18 weeks,NonAdmitted RTT pathways_No. > 52 weeks,NonAdmitted RTT pathways_No. of pathways (all)
19-Oct,7.6,23.7,3763231,0.85,681625,1321,0,,,4.44,10.8,38.2,222984,1120,316640,6.4,28,1018263,1371,1197666
19-Nov,7.7,23.9,3723382,0.84,690096,1398,0,,,4.41,10.5,38.3,212632,1087,301928,6.4,28.2,947316,1532,1121653
19-Dec,8.3,24.9,3693390,0.84,721521,1467,0,,,4.41,9.6,37.8,182692,813,252228,6,27.6,827022,1043,967600
20-Jan,8.4,25.1,3685428,0.84,730266,1643,0,,,4.42,11.1,39.7,211959,1293,303466,7.2,29,977161,1371,1161316
20-Feb,7.5,24.7,3678351,0.83,744997,1613,0,,,4.42,11.3,39.9,197369,1330,284715,6.3,29.6,887992,1492,1056998
20-Mar,8.9,26.5,3375661,0.8,860309,3097,0,,,4.24,8.4,38.5,153038,716,207754,5.8,27.6,838268,958,978672
20-Apr,12.2,30.7,2812999,0.71,1134062,11179,0,,,3.95,3.8,25.9,37382,89,41509,7.4,28.8,440474,1204,528005
20-May,15.3,34.4,2392303,0.62,1453700,26717,0.01,,,3.85,4.1,33.9,45885,323,54560,8.7,31.6,409616,1856,507507
20-Jun,17.6,37.4,2005831,0.52,1854246,50539,0.01,,,3.86,7.3,42.7,66400,1504,94360,5.9,33.5,509356,2777,662650
20-Jul,19.6,40,1895264,0.47,2151443,83203,0.02,,,4.05,11.9,48.3,81223,4684,142818,4.5,36.5,522713,5443,727273
20-Aug,14.8,42.1,2260431,0.54,1959684,111026,0.03,,,4.22,12.5,52,83514,7785,155789,4.5,39.4,485135,7638,667961
20-Sep,12,43.7,2638278,0.61,1716606,139545,0.03,,,4.35,13.1,52,112665,15626,209562,5.5,42.8,629342,14394,848349
20-Oct,11.1,44.8,2911270,0.65,1537587,167067,0.04,,,4.45,12.6,52,130537,21747,232466,5.5,45.2,688510,20227,906244
